model_name,loss_type,fold,run,with_title,with_keywords,num_trials,hpo_metric,f1_IAS,recall_IAS,precision_IAS,TN_IAS,FP_IAS,FN_IAS,TP_IAS,f1_SUA,recall_SUA,precision_SUA,TN_SUA,FP_SUA,FN_SUA,TP_SUA,f1_VA,recall_VA,precision_VA,TN_VA,FP_VA,FN_VA,TP_VA,f1_macro,f1_micro,f1_weighted,recall_macro,recall_micro,recall_weighted,precision_macro,precision_micro,precision_weighted,accuracy,MCC,kappa_IAS,kappa_SUA,kappa_VA,kappa_macro,kappa_weighted,roc_auc_macro,roc_auc_micro,roc_auc_weighted,AP_macro,AP_micro,AP_weighted,NDCG,roc_auc_IAS,AP_IAS,roc_auc_SUA,AP_SUA,roc_auc_VA,AP_VA
bert-base,BCE,2,1,True,False,30.0,eval_AP_weighted,0.9614349775784752,0.96229802513465,0.9605734767025088,607,22,21,536,0.863568215892054,0.9113924050632912,0.8205128205128205,807,63,28,288,0.8864,0.8445121951219512,0.9326599326599326,838,20,51,277,0.9038010644901764,0.914831740756128,0.91519237196761,0.9060675417732976,0.916736053288926,0.916736053288926,0.9045820766250872,0.9129353233830846,0.9160981979332278,0.8836424957841484,0.8713026584737449,0.9272265967253538,0.810400014054073,0.8458945349530945,0.8611737152441737,0.8742756255468145,0.970167931930638,0.9591845926725606,0.9737197873046464,0.9409306087789386,0.936795286165335,0.9493170581325784,0.0,0.9886300388465348,0.9829086613317576,0.9670049468936418,0.9026679721851204,0.9548688100517368,0.9372151928199376
Ensemble,BCE,2,1,True,False,,,0.8832236842105263,0.9640933572710952,0.8148710166919575,507,122,20,537,0.6090452261306533,0.9588607594936708,0.4462444771723122,494,376,13,303,0.7416520210896309,0.6432926829268293,0.8755186721991701,828,30,117,211,0.7446403104769367,0.7561151079136691,0.7724194392006233,0.8554155998971984,0.8751040799333888,0.8751040799333888,0.7122113886878133,0.6656111462951235,0.7344434101292246,0.5809443507588533,0.6196960012154654,0.762146741049361,0.3856329783125727,0.6626104524923656,0.6034633906180997,0.6358967396575879,0.9435086717042424,0.90848772960731,0.9493384880545342,0.8893405352579133,0.8568320598853648,0.9060783237995532,0.0,0.9722708239975107,0.9733003159242212,0.9089189582423978,0.8163993464308366,0.9493362328728184,0.8783219434186825
BiomedBERT-abs,BCE,3,1,True,False,30.0,eval_AP_weighted,0.9384615384615383,0.9838709677419356,0.8970588235294118,565,63,9,549,0.8653295128939829,0.9556962025316456,0.7905759162303665,790,80,14,302,0.8653846153846154,0.823170731707317,0.9121621621621622,832,26,58,270,0.8897252222467124,0.8996789727126806,0.8992943580550672,0.9209126339936328,0.93261231281198,0.93261231281198,0.8665989673073136,0.8689922480620155,0.8731863579429258,0.8558178752107926,0.8469668247728381,0.8788126500791907,0.8098853350249998,0.8175010258514567,0.835399670318549,0.8439613653006374,0.9741809440829554,0.9662851458661144,0.9769859306898389,0.9542587878010113,0.9355294685504056,0.9613457441538013,0.0,0.988913430586946,0.9904542726263708,0.9755874436199622,0.938128785615948,0.958041958041958,0.9341933051607147
BiomedBERT-abs-ft,BCE,3,1,True,False,30.0,eval_AP_weighted,0.9572192513368984,0.9623655913978496,0.952127659574468,601,27,21,537,0.8293370944992948,0.930379746835443,0.7480916030534351,771,99,22,294,0.8161120840630472,0.7103658536585366,0.9588477366255144,848,10,95,233,0.8675561432997468,0.8859283930058285,0.8850945321800715,0.8677037306306098,0.8851913477537438,0.8851913477537438,0.8863556664178058,0.8866666666666667,0.9003213296344488,0.8524451939291737,0.8278043728932787,0.9188213350673352,0.7577949630209723,0.759500809195864,0.8120390357613906,0.8330131270369747,0.956183203710834,0.948843749382043,0.962127547438452,0.9339993838314796,0.922961171970348,0.9448544014151692,0.0,0.9875607835079788,0.9891893320537948,0.9621617197730248,0.9044957967929536,0.918827107851498,0.9083130226476904
roberta-base,BCE,3,1,True,False,30.0,eval_AP_weighted,0.9637681159420288,0.953405017921147,0.9743589743589745,614,14,26,532,0.8387096774193549,0.9462025316455696,0.7531486146095718,772,98,17,299,0.8641571194762684,0.8048780487804879,0.9328621908127208,839,19,64,264,0.8888783042792174,0.901976935749588,0.9037091530352614,0.9014951994490682,0.910981697171381,0.910981697171381,0.8867899265937557,0.8931484502446982,0.9048802566518344,0.8625632377740303,0.8513123678387979,0.932229345950332,0.7706628732466362,0.8173685245585327,0.840086914585167,0.8584112471226465,0.9727057673788776,0.96688103302645,0.9762353470797246,0.9456587994723358,0.9510238594132392,0.9542965501623596,0.0,0.9910479875807592,0.9892356640532366,0.9707187545467773,0.9156673431555454,0.9563505600090964,0.9320733912082252
biobert-v1,BCE,3,1,True,False,30.0,eval_AP_weighted,0.9576719576719576,0.9731182795698924,0.9427083333333334,595,33,15,543,0.8460471567267683,0.9651898734177216,0.7530864197530864,770,100,11,305,0.8156028368794326,0.7012195121951219,0.9745762711864406,852,6,98,230,0.8731073170927196,0.8912773873501447,0.8895587224651124,0.8798425550609119,0.8968386023294509,0.8968386023294509,0.8901236747576201,0.885784716516023,0.9015537234535174,0.8625632377740303,0.8353243222909352,0.918918456989523,0.7802772613019198,0.7600722055367952,0.8197559746094126,0.839124623117828,0.973128724865378,0.9693053668334328,0.9758003073743952,0.9488190070730708,0.9537898736466224,0.9562937779001148,0.0,0.9871869506654796,0.9865564622243824,0.974974538047432,0.923397352964306,0.9572246858832224,0.9365032060305242
bert-base,BCE,3,1,True,False,30.0,eval_AP_weighted,0.9569120287253142,0.9551971326164874,0.95863309352518,605,23,25,533,0.8652482269503546,0.9651898734177216,0.7840616966580977,786,84,11,305,0.867109634551495,0.7957317073170732,0.9525547445255474,845,13,67,261,0.896423296742388,0.9078893019413464,0.9083089117120864,0.9053729044504274,0.9143094841930116,0.9143094841930116,0.8984165115696084,0.9015586546349468,0.9110804646717044,0.8819561551433389,0.8604442433392365,0.9187564577541572,0.8091251300225994,0.822397927476658,0.8500931717511383,0.8636407360451789,0.9745887780822508,0.9695232408351672,0.9765022996251752,0.9574278660230104,0.947479673200125,0.962658244241696,0.0,0.9850010273268954,0.984513010220264,0.9824858140549978,0.9526502448987054,0.9562794928648588,0.935120342950062
Ensemble,BCE,3,1,True,False,,,0.9066213921901528,0.956989247311828,0.8612903225806452,542,86,24,534,0.6225439503619442,0.9525316455696202,0.4623655913978494,520,350,15,301,0.8051529790660226,0.7621951219512195,0.8532423208191127,815,43,78,250,0.7781061072060398,0.7845263919016631,0.8042502514892971,0.8905720049442225,0.9026622296173044,0.9026622296173044,0.7256327449325358,0.6937340153452686,0.7542188087440843,0.6197301854974705,0.6664298742302381,0.8149996880264554,0.4113783772758794,0.7363466336455398,0.6542415663159582,0.6874268627068861,0.9531070747470116,0.9377477124995408,0.958282165466838,0.9027805467507668,0.9012632258428378,0.918088845828014,0.0,0.978951213387211,0.979740338621348,0.9300814782482176,0.8444619333659832,0.950288532605606,0.8841393682649691
BiomedBERT-abs,BCE,4,1,True,False,30.0,eval_AP_weighted,0.9705619982158786,0.974910394265233,0.966252220248668,596,19,14,544,0.8294117647058824,0.8924050632911392,0.7747252747252747,775,82,34,282,0.8257839721254355,0.7225609756097561,0.9634146341463414,836,9,91,237,0.8752525783490656,0.8951578947368422,0.8939474671453094,0.8632921443887094,0.8843594009983361,0.8843594009983361,0.9014640430400948,0.9062233589087808,0.9151263941031144,0.8746803069053708,0.8419137812973149,0.943624249044238,0.7602714625998956,0.770865320378336,0.82492034400749,0.8482794827224177,0.9737999120851484,0.9660007741377664,0.977424838832979,0.9494860432988212,0.9501929485723928,0.9582230730705288,0.0,0.9919806509893055,0.9929984270703928,0.9591672451737736,0.9083142501212202,0.9702518400923656,0.9471454527048506
BiomedBERT-abs-ft,BCE,4,1,True,False,30.0,eval_AP_weighted,0.9456140350877194,0.9659498207885304,0.9261168384879724,572,43,19,539,0.8238805970149253,0.8734177215189873,0.7796610169491526,779,78,40,276,0.8117443868739206,0.7164634146341463,0.9362549800796812,829,16,93,235,0.8604130063255218,0.8790288823775638,0.877080748028544,0.851943652313888,0.8735440931780366,0.8735440931780366,0.8806776118389354,0.8845829823083403,0.8903807909304129,0.855072463768116,0.8169055892982653,0.8942487218412466,0.7537914767815405,0.7514980243376721,0.7998460743201531,0.8183695885467045,0.9658921477202403,0.9514445784144826,0.9702224485196704,0.9364844952306284,0.927533212157028,0.9469311851058008,0.0,0.9880627677244516,0.9892639376475167,0.957077234391386,0.9016803723912186,0.9525364410448838,0.9185091756531504
roberta-base,BCE,4,1,True,False,30.0,eval_AP_weighted,0.9510240427426536,0.956989247311828,0.9451327433628318,584,31,24,534,0.7630522088353414,0.9018987341772152,0.6612529002320185,711,146,31,285,0.7799642218246869,0.6646341463414634,0.9437229437229436,832,13,110,218,0.8313468244675607,0.8538493207081104,0.8549286011654458,0.8411740426101688,0.8627287853577371,0.8627287853577371,0.850036195772598,0.8451507742461287,0.8701173983451778,0.8107416879795396,0.7769345132649065,0.9060560125462512,0.6561649711264095,0.7138292365090415,0.758683406727234,0.7879063023724785,0.9439579000398214,0.9239416825790996,0.9514925067749044,0.8888544063083654,0.8951228515088061,0.9066071507973072,0.0,0.9830069644782468,0.977072573202708,0.9376818604788562,0.8014693654742691,0.9111848751623612,0.8880212802481191
biobert-v1,BCE,4,1,True,False,30.0,eval_AP_weighted,0.943661971830986,0.9605734767025088,0.9273356401384084,573,42,22,536,0.8230337078651685,0.9272151898734176,0.73989898989899,754,103,23,293,0.8484848484848485,0.7682926829268293,0.9473684210526316,831,14,76,252,0.871726842727001,0.8853398853398854,0.885977589243023,0.885360449834252,0.8993344425956739,0.8993344425956739,0.8715343503633433,0.8717741935483871,0.8835259651502293,0.8465473145780051,0.8246740396328543,0.8908011869436202,0.7473123794673997,0.7978616260679424,0.8119917308263208,0.8277174605461926,0.9703422197986332,0.958975725251469,0.9727534240314272,0.945613848124824,0.9397687388096052,0.9535911071426314,0.0,0.9827549028178456,0.9865277709035132,0.9667296870153465,0.9307419230992856,0.9615420695627076,0.9195718503716726
bert-base,BCE,4,1,True,False,30.0,eval_AP_weighted,0.9510240427426536,0.956989247311828,0.9451327433628318,584,31,24,534,0.8251748251748252,0.9335443037974684,0.7393483709273183,753,104,21,295,0.8104347826086956,0.7103658536585366,0.9433198380566802,831,14,95,233,0.862211216842058,0.8802320762536262,0.8795750992523276,0.8669664682559444,0.8835274542429284,0.8835274542429284,0.8759336507822768,0.8769611890999174,0.8905383218736138,0.855072463768116,0.8177600841569459,0.9060560125462512,0.7500115084216072,0.7504951770245666,0.802187565997475,0.8225834523511597,0.9630275138041546,0.9567179431202636,0.9672952610415396,0.9360891073343792,0.9409263434450176,0.9464156769003442,0.0,0.985304659498208,0.9885799629333272,0.9625201246621272,0.9077857881233838,0.9412577572521288,0.9119015709464264
Ensemble,BCE,4,1,True,False,,,0.8783673469387755,0.96415770609319,0.8065967016491754,486,129,20,538,0.6073619631901841,0.939873417721519,0.4486404833836858,492,365,19,297,0.8393135725429017,0.8201219512195121,0.8594249201277955,801,44,59,269,0.7750142942239537,0.7763713080168776,0.7964644024575762,0.908051025011407,0.91846921797005,0.91846921797005,0.7048873683868856,0.6723507917174177,0.726907426016141,0.5882352941176471,0.6523686439977477,0.7476337551061074,0.3819623770255621,0.7789485239632981,0.6361815520316558,0.6600456425534503,0.9525471624278724,0.9328992033849496,0.9566057009889704,0.9064943314188492,0.8926456780471845,0.9198669443301136,0.0,0.9721741410962498,0.9733761993491776,0.9222006410351092,0.8489067401385075,0.9632667051522584,0.8972000547688627
BiomedBERT-abs,BCE,5,1,True,False,30.0,eval_AP_weighted,0.9477351916376306,0.974910394265233,0.9220338983050848,573,46,14,544,0.8242074927953891,0.907936507936508,0.7546174142480211,769,93,29,286,0.8403361344537815,0.7598784194528876,0.9398496240601504,832,16,79,250,0.8707596062956005,0.8863356585966352,0.8859668763724123,0.8809084405515429,0.8985024958402662,0.8985024958402662,0.8721669788710854,0.8744939271255061,0.8830365449735051,0.8521665250637214,0.8266372174361241,0.8980593455704462,0.7515966979663292,0.7871354135929501,0.8122638190432419,0.8293158284191209,0.9645782748595798,0.95721921886308,0.9699412195913052,0.922890845541719,0.9359288780317452,0.9358722830950188,0.0,0.9919774639405678,0.9871225252791485,0.9523036128604576,0.8589884684563621,0.949453747777714,0.9225615428896462
BiomedBERT-abs-ft,BCE,5,1,True,False,30.0,eval_AP_weighted,0.9471799462846912,0.9480286738351256,0.9463327370304114,589,30,29,529,0.8579881656804734,0.9206349206349206,0.8033240997229917,791,71,25,290,0.8275862068965517,0.729483282674772,0.9561752988047808,837,11,89,240,0.8775847729539055,0.8925410872313527,0.8910720002372482,0.8660489590482726,0.8810316139767055,0.8810316139767055,0.9019440451860614,0.9043552519214346,0.9115494442449958,0.8759558198810535,0.8383347133917248,0.8994839802276856,0.8011481428033409,0.7725612654637084,0.8243977961649116,0.8389736957468061,0.97009406388966,0.9610003079167468,0.9718433547294094,0.94066501376291,0.9219554584920204,0.9489912771623612,0.0,0.979119981934094,0.9828349076882954,0.9675431812322765,0.9155748068180928,0.9636190285026096,0.9235853267823412
roberta-base,BCE,5,1,True,False,30.0,eval_AP_weighted,0.9482909728308502,0.9695340501792116,0.9279588336192108,577,42,17,541,0.8554033485540334,0.8920634920634921,0.8216374269005848,801,61,34,281,0.8436974789915966,0.7629179331306991,0.943609022556391,833,15,78,251,0.8824639334588268,0.8967822816548265,0.8953202065077954,0.8748384917911342,0.8926788685524126,0.8926788685524126,0.8977350943587289,0.9009235936188076,0.9043795233396476,0.8683092608326253,0.8439022489776768,0.8996965315623063,0.7995532681162149,0.7916167733067827,0.8302888576617681,0.843870101902085,0.9717167534466004,0.955645342777066,0.9750092246621974,0.940459337985738,0.9127077200307844,0.9503812411630248,0.0,0.9884424525625214,0.9900249474235028,0.9626192317607632,0.8993448338535541,0.9640885760165164,0.9320082326801568
biobert-v1,BCE,5,1,True,False,30.0,eval_AP_weighted,0.939843068875327,0.9659498207885304,0.9151103565365024,569,50,19,539,0.8124156545209177,0.9555555555555556,0.7065727699530516,737,125,14,301,0.845360824742268,0.7477203647416414,0.9723320158102768,841,7,83,246,0.8658731827128375,0.8793522267206477,0.8805882487077602,0.8897419136952425,0.903494176372712,0.903494176372712,0.8646717140999436,0.8564668769716088,0.8761224914177709,0.8411214953271028,0.815216065858425,0.88275792376154,0.7290340639010761,0.7957148918116249,0.8025022931580804,0.8186479625572404,0.9726659574915348,0.9607888384108638,0.97554147481205,0.9370667538819109,0.941762291184858,0.9475426286967186,0.0,0.9872583250820784,0.9887132449373116,0.9644716974183332,0.8824271056167403,0.9662678499741928,0.94005991109168
bert-base,BCE,5,1,True,False,30.0,eval_AP_weighted,0.9637681159420288,0.953405017921147,0.9743589743589745,605,14,26,532,0.8443804034582133,0.9301587301587302,0.7730870712401056,776,86,22,293,0.8162544169611308,0.7021276595744681,0.9746835443037974,842,6,98,231,0.8748009787871244,0.8934010152284264,0.8921049409028297,0.8618971358847819,0.8785357737104825,0.8785357737104825,0.907376529967626,0.9087779690189328,0.9217018479275294,0.8640611724723875,0.8400559425922934,0.931775235047937,0.7801019949210127,0.760095328436253,0.8239908528017343,0.8450366660668844,0.9640972634782896,0.9429076985616502,0.9690165979050988,0.9210235909968736,0.8868421091572997,0.9347736447811372,0.0,0.9897235684796268,0.9892982184250448,0.9609103966412552,0.8572610933087635,0.9416578253139872,0.9165114612568128
Ensemble,BCE,5,1,True,False,,,0.9067357512953368,0.9408602150537635,0.875,544,75,33,525,0.60262891809909,0.946031746031746,0.4421364985163205,486,376,17,298,0.8044871794871795,0.7629179331306991,0.8508474576271187,804,44,78,251,0.7712839496272021,0.7751714182605558,0.799054027017715,0.8832699647387362,0.8935108153078203,0.8935108153078203,0.7226613187144797,0.6845124282982792,0.7549515895107844,0.5964316057774002,0.649390684257392,0.8166682531303814,0.37443825201201464,0.7342515240460601,0.6417860097294853,0.6782177088533204,0.9429138166628862,0.9240410107956611,0.9493605388747004,0.8814753162840168,0.8776124957783765,0.9003089254323806,0.0,0.9744934887464463,0.975760278469096,0.9059698744153499,0.8067080408589886,0.9482780868268623,0.8619576295239656
