,model_name,fold,data_type,criterion,num_trees,run,with_title,f1_IAS,f1_SUA,f1_VA,f1_weighted,f1_macro,f1_micro,recall_IAS,recall_SUA,recall_VA,recall_weighted,recall_macro,recall_micro,precision_IAS,precision_SUA,precision_VA,precision_weighted,precision_macro,precision_micro,accuracy
0,Random Forest,4,MultiLabel,gini,300,0,False,0.7633587786259542,0.23492063492063492,0.12134831460674157,0.4266954409120739,0.3732092427177769,0.4937388193202147,0.6591337099811676,0.13553113553113552,0.06521739130434782,0.3399014778325123,0.28662741227221694,0.3399014778325123,0.9067357512953368,0.8809523809523809,0.8709677419354839,0.8887991207710297,0.8862186247277339,0.9019607843137255,0.8861386138613861
0,Random Forest,0,MultiLabel,entropy,300,0,False,0.6888361045130641,0.04964539007092199,0.0963302752293578,0.3441372841096835,0.27827058993778125,0.4076923076923077,0.5461393596986818,0.025547445255474453,0.05084745762711865,0.26108374384236455,0.20751142086042496,0.26108374384236455,0.932475884244373,0.875,0.9130434782608695,0.9129570205710189,0.9068397875017475,0.9298245614035088,0.875
0,Random Forest,1,MultiLabel,entropy,300,0,False,0.7103448275862069,0.1288135593220339,0.091324200913242,0.36911813879557404,0.3101608626071609,0.43418590143480973,0.5830188679245283,0.06934306569343066,0.04830917874396135,0.2857142857142857,0.2335570374539734,0.2857142857142857,0.9088235294117647,0.9047619047619048,0.8333333333333334,0.8822506013899811,0.8823062558356676,0.9038961038961039,0.8766501650165016
0,Random Forest,2,MultiLabel,entropy,300,0,False,0.6723507917174177,0.09523809523809523,0.10933940774487472,0.3511557245581672,0.2923094315667959,0.4041184041184041,0.5207547169811321,0.051094890510948905,0.057971014492753624,0.25779967159277506,0.20994020732827823,0.25779967159277506,0.9484536082474226,0.7,0.96,0.8964863812570887,0.8694845360824742,0.9345238095238095,0.8743124312431243
0,Random Forest,3,MultiLabel,entropy,300,0,False,0.6967592592592593,0.07719298245614035,0.07816091954022988,0.34762846598263397,0.2840377204185432,0.4154040404040404,0.5668549905838042,0.040293040293040296,0.04106280193236715,0.27011494252873564,0.21607027760307052,0.27011494252873564,0.9039039039039038,0.9166666666666666,0.8095238095238095,0.8746845895860673,0.8766981266981265,0.8989071038251366,0.8747249724972497
0,Random Forest,4,MultiLabel,entropy,300,0,False,0.7213872832369942,0.10380622837370242,0.0871559633027523,0.36738778042052883,0.30411649163781634,0.43522012578616354,0.5875706214689266,0.054945054945054944,0.04589371980676329,0.28407224958949095,0.22946979874024828,0.28407224958949095,0.9341317365269461,0.9375,0.8636363636363636,0.9109252107071124,0.9117560333877699,0.9301075268817204,0.8785753575357536
0,Random Forest,0,MultiLabel,log_loss,400,0,False,0.6888361045130641,0.04964539007092199,0.09195402298850575,0.3426533824877853,0.2768118391908306,0.40667094291212313,0.5461393596986818,0.025547445255474453,0.048426150121065374,0.2602627257799672,0.2067043183584072,0.2602627257799672,0.932475884244373,0.875,0.9090909090909091,0.9116167815995957,0.9055222644450941,0.9296187683284457,0.8747249724972497
0,Random Forest,1,MultiLabel,log_loss,400,0,False,0.711825487944891,0.13468013468013468,0.08695652173913043,0.36959759073329157,0.3111540481213853,0.43489096573208724,0.5849056603773585,0.072992700729927,0.04589371980676329,0.28653530377668307,0.23459736030468292,0.28653530377668307,0.9090909090909091,0.8695652173913043,0.8260869565217391,0.8719860848796381,0.8682476943346509,0.9018087855297158,0.8766501650165016
0,Random Forest,2,MultiLabel,log_loss,400,0,False,0.675577156743621,0.08873720136518772,0.1050228310502283,0.3496299986067119,0.2897790630530123,0.4041184041184041,0.5245283018867924,0.04744525547445255,0.05555555555555555,0.25779967159277506,0.20917637097226685,0.25779967159277506,0.9488054607508533,0.6842105263157895,0.9583333333333334,0.8925210003353682,0.863783106799992,0.9345238095238095,0.8743124312431243
0,Random Forest,3,MultiLabel,log_loss,400,0,False,0.6967592592592593,0.0636042402826855,0.07373271889400922,0.3430775614827255,0.27803207281198467,0.41239721695129666,0.5668549905838042,0.03296703296703297,0.03864734299516908,0.2676518883415435,0.21282312218200206,0.2676518883415435,0.9039039039039038,0.9,0.8,0.8677118004704212,0.8679679679679678,0.8980716253443526,0.8743124312431243
0,Random Forest,4,MultiLabel,log_loss,400,0,False,0.7197231833910035,0.11683848797250859,0.0871559633027523,0.36958332217114714,0.30790587822208815,0.4366373902132999,0.5875706214689266,0.06227106227106227,0.04589371980676329,0.2857142857142857,0.23191180118225072,0.2857142857142857,0.9285714285714286,0.9444444444444444,0.8636363636363636,0.9100576489739051,0.9122174122174123,0.925531914893617,0.8785753575357536
0,Random Forest,0,MultiLabel,gini,400,0,False,0.7366071428571429,0.19607843137254902,0.15859030837004406,0.41901615797212605,0.36375862753324534,0.4782608695652174,0.6214689265536724,0.10948905109489052,0.08716707021791767,0.3251231527093596,0.27270834928882687,0.3251231527093596,0.9041095890410958,0.9375,0.8780487804878049,0.9027843498540931,0.9065527898429669,0.9041095890410958,0.8835258525852585
0,Random Forest,1,MultiLabel,gini,400,0,False,0.748898678414097,0.21794871794871795,0.16593886462882096,0.4313078310621937,0.37759542033054533,0.49106078665077474,0.6415094339622641,0.12408759124087591,0.09178743961352658,0.33825944170771755,0.2857948216055555,0.33825944170771755,0.8994708994708994,0.8947368421052632,0.8636363636363636,0.8862257192133607,0.8859480350708421,0.8956521739130435,0.884075907590759
0,Random Forest,2,MultiLabel,gini,400,0,False,0.7400681044267877,0.20447284345047922,0.16299559471365638,0.4234333585082779,0.3691788475303078,0.47936893203883496,0.6150943396226415,0.11678832116788321,0.0893719806763285,0.3243021346469622,0.2737515471556177,0.3243021346469622,0.9287749287749287,0.8205128205128205,0.925,0.9031372948039615,0.8914292497625831,0.9186046511627907,0.8838008800880088
0,Random Forest,3,MultiLabel,gini,400,0,False,0.7326732673267327,0.1605351170568562,0.1782608695652174,0.4159898127315409,0.3571564179829354,0.47721822541966424,0.6271186440677966,0.08791208791208792,0.09903381642512077,0.32676518883415434,0.2713548494683351,0.32676518883415434,0.8809523809523809,0.9230769230769231,0.8913043478260869,0.8939127375087965,0.8984445506184636,0.8844444444444445,0.8827007700770076
