model_name,loss_type,fold,run,with_title,with_keywords,nb_added_negs,num_trials,hpo_metric,f1_IAS,recall_IAS,precision_IAS,TN_IAS,FP_IAS,FN_IAS,TP_IAS,f1_SUA,recall_SUA,precision_SUA,TN_SUA,FP_SUA,FN_SUA,TP_SUA,f1_VA,recall_VA,precision_VA,TN_VA,FP_VA,FN_VA,TP_VA,f1_macro,f1_micro,f1_weighted,recall_macro,recall_micro,recall_weighted,precision_macro,precision_micro,precision_weighted,accuracy,MCC,kappa,roc_auc_macro,roc_auc_micro,roc_auc_weighted,AP_macro,AP_micro,AP_weighted,NDCG,roc_auc_IAS,AP_IAS,roc_auc_SUA,AP_SUA,roc_auc_VA,AP_VA
BiomedBERT-abs,BCE,1,1,True,False,100,30,eval_AP_weighted,0.9556737588652482,0.9659498207885304,0.9456140350877194,590,31,19,539,0.8505079825834543,0.9301587301587302,0.7834224598930482,783,81,22,293,0.7803992740471869,0.6554878048780488,0.9641255605381166,843,8,113,215,0.862193671831963,0.8842905405405406,0.880222259657014,0.8505321186084366,0.8717735220649458,0.8717735220649458,0.8977206851729614,0.897172236503856,0.9081298004177848,0.8676844783715013,0.8262774690639314,0.8260850371522062,0.9762977704682982,0.9728743455795968,0.979211726297488,0.953126494591559,0.958593971480287,0.9607614926912416,0.0,0.991359756203141,0.9918977216693994,0.9735743680188124,0.933722610759566,0.963959187182941,0.9337591513457112
BiomedBERT-abs-ft,BCE,1,1,True,False,100,30,eval_AP_weighted,0.95829636202307,0.967741935483871,0.9490333919156416,592,29,18,540,0.8038147138964578,0.9365079365079364,0.7040572792362768,740,124,20,295,0.8557046979865772,0.7774390243902439,0.9514925373134328,838,13,73,255,0.8726052579687017,0.8872608872608873,0.8897603212538341,0.8938962987940172,0.9075770191507078,0.9075770191507078,0.8681944028217837,0.8678343949044586,0.8854523129784855,0.8464800678541137,0.827798029700267,0.8273112685174593,0.970479300055464,0.9613959685421968,0.9745079991115904,0.955783659267266,0.944819730108814,0.962720661470289,0.0,0.9916021678527522,0.9914450135382424,0.9720017636684304,0.945843031305249,0.9478339686452092,0.9300629329583062
roberta-base,BCE,1,1,True,False,100,30,eval_AP_weighted,0.9358752166377816,0.967741935483871,0.906040268456376,565,56,18,540,0.8414985590778098,0.926984126984127,0.7704485488126649,777,87,23,292,0.8132635253054101,0.7103658536585366,0.9510204081632652,839,12,95,233,0.8635457670070005,0.8798017348203222,0.8776360143993062,0.8683639720421782,0.8867610324729392,0.8867610324729392,0.8758364084774354,0.8729508196721312,0.8827614126163181,0.8515691263782866,0.8173254688823819,0.8172672941643496,0.9631961791064152,0.9498416701835228,0.9676130047525716,0.9365994427807028,0.93076795694312,0.946118704588965,0.0,0.9864307193277118,0.9855847383623167,0.966222075249853,0.9238290237074992,0.9369357427416812,0.9003845662722924
